mass,friction,reward
0.5,0.5,975.8992645399999
0.5,1.0,975.8992645399999
0.5,1.5,1020.40720734
0.5,2.0,1004.61824652
0.5,2.5,998.1698880199999
0.5,3.0,1001.0309790599999
0.5,3.5,1028.63143898
1.0,0.5,1018.8614895400001
1.0,1.0,1018.8614895400001
1.0,1.5,1008.4779200400001
1.0,2.0,1021.44252802
1.0,2.5,1017.47358584
1.0,3.0,1010.2138533000001
1.0,3.5,1009.3650959999999
1.5,0.5,1021.5829070000001
1.5,1.0,1021.5829070000001
1.5,1.5,1027.55369268
1.5,2.0,1020.4533839000001
1.5,2.5,1003.6682552399999
1.5,3.0,987.47952736
1.5,3.5,988.90848424
2.0,0.5,1024.1208622400002
2.0,1.0,1024.1208622400002
2.0,1.5,1028.3303892000001
2.0,2.0,1024.0970941599999
2.0,2.5,1003.94974492
2.0,3.0,1018.4871166999999
2.0,3.5,944.65008188
2.5,0.5,1025.95636996
2.5,1.0,1025.95636996
2.5,1.5,1030.83090854
2.5,2.0,1024.56506046
2.5,2.5,1003.0738661599999
2.5,3.0,1019.07645252
2.5,3.5,897.9177675599999
3.0,0.5,1018.56711268
3.0,1.0,1018.56711268
3.0,1.5,1032.8582236600002
3.0,2.0,1024.95431902
3.0,2.5,1017.2538564399998
3.0,3.0,1001.5450131800001
3.0,3.5,721.15456314
3.5,0.5,1026.07200626
3.5,1.0,1026.07200626
3.5,1.5,1033.3696770400002
3.5,2.0,1025.6581501800001
3.5,2.5,1019.6588427199999
3.5,3.0,1019.51277332
3.5,3.5,514.36701264
4.0,0.5,1029.6424900800002
4.0,1.0,1029.6424900800002
4.0,1.5,1034.9564100999999
4.0,2.0,1026.3484786
4.0,2.5,1020.36667162
4.0,3.0,990.9811014200001
4.0,3.5,409.38575268000005
4.5,0.5,1029.40570882
4.5,1.0,1029.40570882
4.5,1.5,1035.04466134
4.5,2.0,1026.55492992
4.5,2.5,1020.5098484799997
4.5,3.0,1017.0128466799999
4.5,3.5,242.65421058000004
5.0,0.5,1029.2627747
5.0,1.0,1029.2627747
5.0,1.5,1035.8197817399998
5.0,2.0,1027.18352298
5.0,2.5,1020.8950353999999
5.0,3.0,946.2442115599999
5.0,3.5,226.06024419999997
5.5,0.5,1030.92168336
5.5,1.0,1030.92168336
5.5,1.5,1036.94188012
5.5,2.0,1027.08583138
5.5,2.5,1021.3889315600001
5.5,3.0,930.80115738
5.5,3.5,208.21596631999998
6.0,0.5,1031.83347624
6.0,1.0,1031.83347624
6.0,1.5,1037.76037716
6.0,2.0,1023.9084493200003
6.0,2.5,1007.5542928
6.0,3.0,850.1008482999999
6.0,3.5,189.91953504
6.5,0.5,1032.5071692200002
6.5,1.0,1032.5071692200002
6.5,1.5,1038.6460114
6.5,2.0,1009.8740726000001
6.5,2.5,1019.3689867
6.5,3.0,768.6952067799998
6.5,3.5,180.01787918
7.0,0.5,1033.0499087399999
7.0,1.0,1033.0499087399999
7.0,1.5,1039.6664628400001
7.0,2.0,1013.6338282800002
7.0,2.5,1022.31000228
7.0,3.0,682.45268574
7.0,3.5,174.44206048
7.5,0.5,1033.8436666199998
7.5,1.0,1033.8436666199998
7.5,1.5,1037.4039982200002
7.5,2.0,1027.8194605400001
7.5,2.5,969.4213847999999
7.5,3.0,546.82097678
7.5,3.5,175.6441237
8.0,0.5,1034.4336804
8.0,1.0,1034.4336804
8.0,1.5,1040.2888265
8.0,2.0,1028.5171058600001
8.0,2.5,993.13792816
8.0,3.0,380.0668273399999
8.0,3.5,165.17643176
8.5,0.5,1034.66900356
8.5,1.0,1034.66900356
8.5,1.5,1041.2244461799999
8.5,2.0,1028.4115375
8.5,2.5,950.3126430600001
8.5,3.0,282.55549082
8.5,3.5,167.42756782
9.0,0.5,1034.8227958799998
9.0,1.0,1034.8227958799998
9.0,1.5,1041.4351886200002
9.0,2.0,1028.65338414
9.0,2.5,963.95154706
9.0,3.0,245.20707867999997
9.0,3.5,167.49180138
9.5,0.5,1036.30519802
9.5,1.0,1036.30519802
9.5,1.5,1042.20334552
9.5,2.0,1028.4881313600001
9.5,2.5,874.3750305199999
9.5,3.0,189.68398331999998
9.5,3.5,167.39712760000003
10.0,0.5,1035.30614412
10.0,1.0,1035.30614412
10.0,1.5,1042.31670994
10.0,2.0,1028.85908062
10.0,2.5,975.3673499399998
10.0,3.0,191.67197553999998
10.0,3.5,163.50831276
10.5,0.5,1036.85517322
10.5,1.0,1036.85517322
10.5,1.5,1042.10547168
10.5,2.0,1028.2407594
10.5,2.5,712.1401231200001
10.5,3.0,183.94433526
10.5,3.5,164.31772409999996
11.0,0.5,1036.9424245799999
11.0,1.0,1036.9424245799999
11.0,1.5,1042.39264966
11.0,2.0,1028.46196742
11.0,2.5,642.4727428799999
11.0,3.0,175.02281104000002
11.0,3.5,161.0031855
11.5,0.5,1038.0655282
11.5,1.0,1038.0655282
11.5,1.5,1043.31256534
11.5,2.0,1011.3569263
11.5,2.5,560.53728612
11.5,3.0,170.86789104
11.5,3.5,162.22392526
