mass,friction,reward
0.5,0.5,2410.93239628
0.5,1.0,2410.93239628
0.5,1.5,1607.9694166400002
0.5,2.0,2748.80573598
0.5,2.5,526.12124526
0.5,3.0,284.81758484
0.5,3.5,228.59953004
1.0,0.5,2555.9354233799995
1.0,1.0,2555.9354233799995
1.0,1.5,2815.6798852
1.0,2.0,3013.3411742200005
1.0,2.5,423.08360866000004
1.0,3.0,274.0333712
1.0,3.5,228.31402884
1.5,0.5,1914.9834602399999
1.5,1.0,1914.9834602399999
1.5,1.5,2850.9454738799996
1.5,2.0,3078.0381567399995
1.5,2.5,385.9731471400001
1.5,3.0,268.46914748
1.5,3.5,227.21687408000003
2.0,0.5,562.12704022
2.0,1.0,562.12704022
2.0,1.5,2876.1507533999993
2.0,2.0,3116.9624850999994
2.0,2.5,369.37046698000006
2.0,3.0,263.83765225999997
2.0,3.5,225.17015866000003
2.5,0.5,2646.8831205200004
2.5,1.0,2646.8831205200004
2.5,1.5,2907.4235936399996
2.5,2.0,3143.6299583600003
2.5,2.5,360.36943346
2.5,3.0,257.29720152
2.5,3.5,219.33872774
3.0,0.5,2717.32167064
3.0,1.0,2717.32167064
3.0,1.5,2931.0590465399996
3.0,2.0,3161.0719550200006
3.0,2.5,351.38240976000003
3.0,3.0,256.82817664000004
3.0,3.5,211.3251698
3.5,0.5,2659.4092016600002
3.5,1.0,2659.4092016600002
3.5,1.5,2957.15498784
3.5,2.0,3172.38374588
3.5,2.5,350.76547504
3.5,3.0,255.7027953
3.5,3.5,211.05675889999998
4.0,0.5,1843.9794283800002
4.0,1.0,1843.9794283800002
4.0,1.5,2973.7381873400004
4.0,2.0,3190.1383526599993
4.0,2.5,346.18044146000005
4.0,3.0,256.82547364000004
4.0,3.5,215.95443116
4.5,0.5,769.4650521
4.5,1.0,769.4650521
4.5,1.5,2990.0066015
4.5,2.0,3202.68954774
4.5,2.5,343.94655116
4.5,3.0,256.92125746
4.5,3.5,223.62959702
5.0,0.5,648.695184
5.0,1.0,648.695184
5.0,1.5,3001.7540901999996
5.0,2.0,3211.77905148
5.0,2.5,340.74699291999997
5.0,3.0,257.29072048
5.0,3.5,233.83220292
5.5,0.5,565.6952921
5.5,1.0,565.6952921
5.5,1.5,3006.10713232
5.5,2.0,3223.2960023400005
5.5,2.5,337.95552548
5.5,3.0,256.32859476
5.5,3.5,247.80205477999996
6.0,0.5,556.5209674600001
6.0,1.0,556.5209674600001
6.0,1.5,3012.89559424
6.0,2.0,3233.76570166
6.0,2.5,333.42407722
6.0,3.0,253.67679936000002
6.0,3.5,253.14327554
6.5,0.5,559.8044616600001
6.5,1.0,559.8044616600001
6.5,1.5,3024.5304272000003
6.5,2.0,3246.5205802000005
6.5,2.5,331.84821042000004
6.5,3.0,243.68998494000004
6.5,3.5,259.86318442000004
7.0,0.5,542.5219806199999
7.0,1.0,542.5219806199999
7.0,1.5,2826.70456008
7.0,2.0,3261.90988136
7.0,2.5,330.58905380000004
7.0,3.0,233.05965396
7.0,3.5,263.36085782
7.5,0.5,392.8655076400001
7.5,1.0,392.8655076400001
7.5,1.5,1129.71175842
7.5,2.0,3128.9214501199995
7.5,2.5,327.67930228000006
7.5,3.0,232.16282898
7.5,3.5,265.7371436
8.0,0.5,369.73866982
8.0,1.0,369.73866982
8.0,1.5,807.4006243
8.0,2.0,1787.00220008
8.0,2.5,327.4698696
8.0,3.0,235.38895687999997
8.0,3.5,267.28214354
8.5,0.5,356.62443568000003
8.5,1.0,356.62443568000003
8.5,1.5,713.5917366
8.5,2.0,1289.94093184
8.5,2.5,327.28856616
8.5,3.0,238.03458126
8.5,3.5,269.47314922000004
9.0,0.5,329.20577494
9.0,1.0,329.20577494
9.0,1.5,609.85225136
9.0,2.0,1133.0588474999997
9.0,2.5,329.20828206
9.0,3.0,242.82887098
9.0,3.5,271.75818388
9.5,0.5,329.0378022
9.5,1.0,329.0378022
9.5,1.5,562.35241436
9.5,2.0,1072.70559246
9.5,2.5,328.55406139999997
9.5,3.0,248.15350872
9.5,3.5,274.7144739
10.0,0.5,306.84765632
10.0,1.0,306.84765632
10.0,1.5,481.90550558
10.0,2.0,943.9949274200001
10.0,2.5,331.69491429999994
10.0,3.0,252.93959864000004
10.0,3.5,276.03076974
10.5,0.5,296.13971546
10.5,1.0,296.13971546
10.5,1.5,466.56505130000005
10.5,2.0,874.3838491199999
10.5,2.5,335.50552532
10.5,3.0,258.34050664000006
10.5,3.5,278.05736164
11.0,0.5,293.14058931999995
11.0,1.0,293.14058931999995
11.0,1.5,450.70094598
11.0,2.0,848.3432586
11.0,2.5,333.39701157999997
11.0,3.0,263.89211866
11.0,3.5,279.96402825999996
11.5,0.5,290.5655863
11.5,1.0,290.5655863
11.5,1.5,436.09486158000004
11.5,2.0,761.5606861199999
11.5,2.5,336.42618372000004
11.5,3.0,273.18995861999997
11.5,3.5,280.50831356
