mass,friction,reward
0.5,0.5,144.63608328
0.5,1.0,144.63608328
0.5,1.5,148.96873758
0.5,2.0,166.25730224000003
0.5,2.5,185.08379161999997
0.5,3.0,201.79736986
0.5,3.5,196.44647405999996
1.0,0.5,352.12782242000003
1.0,1.0,352.12782242000003
1.0,1.5,1136.13962758
1.0,2.0,218.64413122
1.0,2.5,2160.5387487
1.0,3.0,250.71860537999999
1.0,3.5,207.15783852
1.5,0.5,425.26146406
1.5,1.0,425.26146406
1.5,1.5,1541.61616182
1.5,2.0,235.99423037999998
1.5,2.5,2523.4333653
1.5,3.0,318.07412812
1.5,3.5,216.43660844000001
2.0,0.5,725.0777606
2.0,1.0,725.0777606
2.0,1.5,2858.2966703800003
2.0,2.0,251.05454576
2.0,2.5,273.74443668
2.0,3.0,383.19306248
2.0,3.5,225.47488426
2.5,0.5,492.59450032
2.5,1.0,492.59450032
2.5,1.5,2958.8319956799996
2.5,2.0,1763.36155786
2.5,2.5,292.41804436
2.5,3.0,393.19798947999993
2.5,3.5,236.30046534000002
3.0,0.5,472.87578057999997
3.0,1.0,472.87578057999997
3.0,1.5,3034.89652008
3.0,2.0,3242.75879678
3.0,2.5,1192.43271656
3.0,3.0,438.37047236
3.0,3.5,251.44832192
3.5,0.5,415.76765954
3.5,1.0,415.76765954
3.5,1.5,3092.25436418
3.5,2.0,3311.8918235400006
3.5,2.5,2714.38184116
3.5,3.0,397.05754607999995
3.5,3.5,270.48957872000005
4.0,0.5,315.62366764
4.0,1.0,315.62366764
4.0,1.5,3133.56071266
4.0,2.0,3373.2535025600005
4.0,2.5,1050.7716519800001
4.0,3.0,399.16404624
4.0,3.5,284.05995532000003
4.5,0.5,228.64571702
4.5,1.0,228.64571702
4.5,1.5,3165.4940588600007
4.5,2.0,3432.2340307
4.5,2.5,1261.84030134
4.5,3.0,434.14279236000004
4.5,3.5,286.62780915999997
5.0,0.5,232.26248947999997
5.0,1.0,232.26248947999997
5.0,1.5,3191.0303984
5.0,2.0,3472.6383002000007
5.0,2.5,3444.06957598
5.0,3.0,450.08789773999996
5.0,3.5,287.55557108
5.5,0.5,229.60391222
5.5,1.0,229.60391222
5.5,1.5,3211.9748441799993
5.5,2.0,3497.21200348
5.5,2.5,3700.76579932
5.5,3.0,443.74188183999996
5.5,3.5,287.67145756
6.0,0.5,232.91500916
6.0,1.0,232.91500916
6.0,1.5,3218.6494846799997
6.0,2.0,3509.178161499999
6.0,2.5,3721.36140136
6.0,3.0,456.754736
6.0,3.5,286.04048952
6.5,0.5,234.69255581999997
6.5,1.0,234.69255581999997
6.5,1.5,3185.5817749
6.5,2.0,3521.2926912800003
6.5,2.5,3728.7706856000004
6.5,3.0,433.23537786
6.5,3.5,284.25223224
7.0,0.5,235.22546476
7.0,1.0,235.22546476
7.0,1.5,1124.9045511200002
7.0,2.0,3521.9588700599998
7.0,2.5,2718.9807394000004
7.0,3.0,423.37971710000005
7.0,3.5,283.93791957999997
7.5,0.5,236.58439112000005
7.5,1.0,236.58439112000005
7.5,1.5,904.0431563400001
7.5,2.0,3521.8823106600003
7.5,2.5,1482.5133987599997
7.5,3.0,415.65995632
7.5,3.5,281.9212122199999
8.0,0.5,247.97193092
8.0,1.0,247.97193092
8.0,1.5,845.1765410599999
8.0,2.0,3515.9967411599996
8.0,2.5,1381.1229228400002
8.0,3.0,410.78406598000004
8.0,3.5,282.05927778
8.5,0.5,259.14005502000003
8.5,1.0,259.14005502000003
8.5,1.5,815.8141191800001
8.5,2.0,1781.0160661399998
8.5,2.5,1109.38104982
8.5,3.0,402.79682692
8.5,3.5,279.89027600000003
9.0,0.5,302.76218622
9.0,1.0,302.76218622
9.0,1.5,811.09401122
9.0,2.0,1072.6686998599998
9.0,2.5,1022.58310162
9.0,3.0,401.66071826000007
9.0,3.5,279.83045719999996
9.5,0.5,300.95062548000004
9.5,1.0,300.95062548000004
9.5,1.5,804.6384426000001
9.5,2.0,1012.5777740600001
9.5,2.5,965.00826684
9.5,3.0,400.94723138
9.5,3.5,278.95825196000004
10.0,0.5,309.11150654000005
10.0,1.0,309.11150654000005
10.0,1.5,682.5603725200001
10.0,2.0,970.9811326
10.0,2.5,923.4343536000001
10.0,3.0,397.05516387999995
10.0,3.5,278.20192146
10.5,0.5,304.52640166000003
10.5,1.0,304.52640166000003
10.5,1.5,636.7994598199999
10.5,2.0,956.81261434
10.5,2.5,905.26740238
10.5,3.0,395.38837734000003
10.5,3.5,278.18127088
11.0,0.5,304.97200508
11.0,1.0,304.97200508
11.0,1.5,599.20234422
11.0,2.0,943.1737350000002
11.0,2.5,874.9648899999999
11.0,3.0,391.3157547399999
11.0,3.5,278.17399733999997
11.5,0.5,293.56723548
11.5,1.0,293.56723548
11.5,1.5,574.2344325400001
11.5,2.0,909.3293256000001
11.5,2.5,800.44801382
11.5,3.0,390.22823674000006
11.5,3.5,277.3119068
