mass,friction,reward
0.5,0.5,134.12861986
0.5,1.0,134.12861986
0.5,1.5,178.74543842
0.5,2.0,553.0604126799999
0.5,2.5,223.96642625999996
0.5,3.0,166.01338006000003
0.5,3.5,233.88781886
1.0,0.5,2484.05043248
1.0,1.0,2484.05043248
1.0,1.5,1299.5161077
1.0,2.0,834.87472714
1.0,2.5,157.18460528
1.0,3.0,281.593725
1.0,3.5,216.36694386000002
1.5,0.5,1808.21982312
1.5,1.0,1808.21982312
1.5,1.5,2399.94442754
1.5,2.0,950.1318976599999
1.5,2.5,170.50428207999997
1.5,3.0,243.60484934
1.5,3.5,234.28888568000002
2.0,0.5,180.30048400000004
2.0,1.0,180.30048400000004
2.0,1.5,109.35745703999999
2.0,2.0,2044.4111664599998
2.0,2.5,588.8930596800001
2.0,3.0,246.92822988
2.0,3.5,240.41960626
2.5,0.5,98.52836226
2.5,1.0,98.52836226
2.5,1.5,107.98148824
2.5,2.0,2925.23054476
2.5,2.5,827.74517
2.5,3.0,255.99249504
2.5,3.5,245.04481495999997
3.0,0.5,97.64496534
3.0,1.0,97.64496534
3.0,1.5,107.22322581999998
3.0,2.0,3043.9565880800005
3.0,2.5,935.5994086000001
3.0,3.0,264.66349534
3.0,3.5,247.88314185999997
3.5,0.5,96.84009167999999
3.5,1.0,96.84009167999999
3.5,1.5,107.49013753999999
3.5,2.0,3113.2745449199997
3.5,2.5,1077.7165018599999
3.5,3.0,270.15393264
3.5,3.5,250.44502506
4.0,0.5,96.26386359999998
4.0,1.0,96.26386359999998
4.0,1.5,159.85691274
4.0,2.0,3119.2104208799997
4.0,2.5,872.6076177000001
4.0,3.0,274.04936024
4.0,3.5,252.41639562
4.5,0.5,95.97844546000002
4.5,1.0,95.97844546000002
4.5,1.5,278.04879124
4.5,2.0,3202.5701203599997
4.5,2.5,723.07289768
4.5,3.0,277.9171397
4.5,3.5,253.74877467999994
5.0,0.5,95.97081005999999
5.0,1.0,95.97081005999999
5.0,1.5,283.81810326
5.0,2.0,3192.0516247000005
5.0,2.5,681.6726421799999
5.0,3.0,280.43541062
5.0,3.5,255.32165551999998
5.5,0.5,95.91415899999998
5.5,1.0,95.91415899999998
5.5,1.5,282.6544253
5.5,2.0,3305.4379816800006
5.5,2.5,625.37932906
5.5,3.0,283.34705230000003
5.5,3.5,256.4904927
6.0,0.5,96.15620179999998
6.0,1.0,96.15620179999998
6.0,1.5,279.66969248
6.0,2.0,2182.42464744
6.0,2.5,596.58017268
6.0,3.0,285.21428036000003
6.0,3.5,257.5237815
6.5,0.5,96.14114888000002
6.5,1.0,96.14114888000002
6.5,1.5,276.68446332
6.5,2.0,3379.8103209999995
6.5,2.5,590.6993391
6.5,3.0,286.69312601999997
6.5,3.5,258.24116454
7.0,0.5,96.65160564
7.0,1.0,96.65160564
7.0,1.5,274.68542856
7.0,2.0,3462.2615386599996
7.0,2.5,576.07347484
7.0,3.0,288.06766588000005
7.0,3.5,258.84615352000003
7.5,0.5,99.12802788
7.5,1.0,99.12802788
7.5,1.5,274.46932118
7.5,2.0,3471.79830472
7.5,2.5,554.9376535
7.5,3.0,289.84564752
7.5,3.5,259.29397138
8.0,0.5,102.50157617999999
8.0,1.0,102.50157617999999
8.0,1.5,275.18276114
8.0,2.0,3476.70160578
8.0,2.5,541.4357748399999
8.0,3.0,290.93455408
8.0,3.5,259.84231372
8.5,0.5,105.98932095999999
8.5,1.0,105.98932095999999
8.5,1.5,277.05188626
8.5,2.0,3482.3502798199997
8.5,2.5,558.5774218
8.5,3.0,292.20606346
8.5,3.5,260.44629456
9.0,0.5,110.01728956000001
9.0,1.0,110.01728956000001
9.0,1.5,279.39992424
9.0,2.0,3078.2269507
9.0,2.5,561.9525915600001
9.0,3.0,293.54222816000004
9.0,3.5,260.54808388000004
9.5,0.5,112.56227929999997
9.5,1.0,112.56227929999997
9.5,1.5,282.38245452
9.5,2.0,2814.0887922999996
9.5,2.5,422.64402432
9.5,3.0,294.57569485999994
9.5,3.5,260.18905092
10.0,0.5,115.69022422
10.0,1.0,115.69022422
10.0,1.5,286.17916554000004
10.0,2.0,1454.7201291199997
10.0,2.5,433.09981508
10.0,3.0,295.47315088000005
10.0,3.5,260.18681034
10.5,0.5,118.46084004000001
10.5,1.0,118.46084004000001
10.5,1.5,290.06165648
10.5,2.0,1091.5695434199997
10.5,2.5,428.82946766000003
10.5,3.0,295.94990878000004
10.5,3.5,260.72518673999997
11.0,0.5,120.24879445999998
11.0,1.0,120.24879445999998
11.0,1.5,293.28527214
11.0,2.0,831.46842964
11.0,2.5,414.35209950000007
11.0,3.0,297.55705217999997
11.0,3.5,261.67383744
11.5,0.5,121.15928958
11.5,1.0,121.15928958
11.5,1.5,296.38047054000003
11.5,2.0,689.01052016
11.5,2.5,389.6779670799999
11.5,3.0,298.13615288
11.5,3.5,262.31182512
