mass,friction,reward
0.5,0.5,791.80300654
0.5,1.0,791.80300654
0.5,1.5,2081.2777908
0.5,2.0,633.95757338
0.5,2.5,418.22328954000005
0.5,3.0,351.35021174
0.5,3.5,330.30973348
1.0,0.5,1731.8954772999998
1.0,1.0,1731.8954772999998
1.0,1.5,1853.3951150999999
1.0,2.0,1505.2909023599998
1.0,2.5,496.19504864000004
1.0,3.0,342.1020644
1.0,3.5,290.12841141999996
1.5,0.5,2008.0770220599998
1.5,1.0,2008.0770220599998
1.5,1.5,2303.5921088
1.5,2.0,1475.4228471600002
1.5,2.5,595.0714993600001
1.5,3.0,333.05306275999993
1.5,3.5,303.86934946
2.0,0.5,2112.0749873799996
2.0,1.0,2112.0749873799996
2.0,1.5,2859.42717312
2.0,2.0,977.8290301
2.0,2.5,722.31221058
2.0,3.0,342.78757348
2.0,3.5,309.18481402
2.5,0.5,2072.62042248
2.5,1.0,2072.62042248
2.5,1.5,3001.55438126
2.5,2.0,487.98476866
2.5,2.5,821.6754133800001
2.5,3.0,368.65381786
2.5,3.5,313.35268342
3.0,0.5,2116.50285454
3.0,1.0,2116.50285454
3.0,1.5,3001.8305422599997
3.0,2.0,506.31294231999993
3.0,2.5,939.6866554799999
3.0,3.0,402.85693826000005
3.0,3.5,315.42795932000007
3.5,0.5,1711.95819228
3.5,1.0,1711.95819228
3.5,1.5,3019.0598929200005
3.5,2.0,647.9020783000001
3.5,2.5,1902.8249954199998
3.5,3.0,427.31782546
3.5,3.5,316.31852718
4.0,0.5,1157.41359254
4.0,1.0,1157.41359254
4.0,1.5,3058.45987126
4.0,2.0,1028.92883206
4.0,2.5,2694.3764969599997
4.0,3.0,435.14247766
4.0,3.5,316.99972943999995
4.5,0.5,1541.02516806
4.5,1.0,1541.02516806
4.5,1.5,3081.7749339399998
4.5,2.0,2252.61475576
4.5,2.5,2536.4174713400002
4.5,3.0,433.37632996
4.5,3.5,318.31913198
5.0,0.5,1337.5552100600003
5.0,1.0,1337.5552100600003
5.0,1.5,3111.8574390599997
5.0,2.0,2657.72968754
5.0,2.5,2292.68102704
5.0,3.0,428.57679776
5.0,3.5,320.60591506000003
5.5,0.5,944.5594818200001
5.5,1.0,944.5594818200001
5.5,1.5,3123.89012578
5.5,2.0,3376.80480392
5.5,2.5,1723.2424549200002
5.5,3.0,422.14656406
5.5,3.5,323.04584352000006
6.0,0.5,856.92033116
6.0,1.0,856.92033116
6.0,1.5,3155.18215742
6.0,2.0,3422.9208767600003
6.0,2.5,1669.18905532
6.0,3.0,413.70949378
6.0,3.5,326.190363
6.5,0.5,772.6949717199999
6.5,1.0,772.6949717199999
6.5,1.5,3184.6219385000004
6.5,2.0,3474.5384812600005
6.5,2.5,1275.2339060799998
6.5,3.0,406.40476903999996
6.5,3.5,329.72143694
7.0,0.5,741.2140078
7.0,1.0,741.2140078
7.0,1.5,3186.6262066
7.0,2.0,3491.0066082
7.0,2.5,1215.95162448
7.0,3.0,398.65235504000003
7.0,3.5,332.44713587999996
7.5,0.5,719.70928006
7.5,1.0,719.70928006
7.5,1.5,3198.1810746799997
7.5,2.0,3495.7326343
7.5,2.5,1142.1900858599997
7.5,3.0,391.63283903999996
7.5,3.5,335.1843212400001
8.0,0.5,702.1171330999999
8.0,1.0,702.1171330999999
8.0,1.5,3191.0405664000004
8.0,2.0,3499.3416266399995
8.0,2.5,1032.64939016
8.0,3.0,384.77953636
8.0,3.5,338.4385787599999
8.5,0.5,686.3051743799999
8.5,1.0,686.3051743799999
8.5,1.5,2802.2132322600005
8.5,2.0,3501.4974908000004
8.5,2.5,900.99472698
8.5,3.0,376.55689989999996
8.5,3.5,341.4326232199999
9.0,0.5,674.77475594
9.0,1.0,674.77475594
9.0,1.5,1580.5575216
9.0,2.0,3501.6726092199997
9.0,2.5,845.8665215600001
9.0,3.0,369.9864891600001
9.0,3.5,344.24938332
9.5,0.5,662.3257459800001
9.5,1.0,662.3257459800001
9.5,1.5,1327.2940556800002
9.5,2.0,3498.76787602
9.5,2.5,799.9647465400001
9.5,3.0,369.46962807999995
9.5,3.5,345.6727518
10.0,0.5,655.1806201
10.0,1.0,655.1806201
10.0,1.5,1263.89505494
10.0,2.0,3496.494287760001
10.0,2.5,756.38808194
10.0,3.0,369.15840766
10.0,3.5,346.83923616
10.5,0.5,644.74215562
10.5,1.0,644.74215562
10.5,1.5,1214.39069382
10.5,2.0,3489.6264268200002
10.5,2.5,715.476391
10.5,3.0,367.96902016
10.5,3.5,347.85403992
11.0,0.5,637.2435827
11.0,1.0,637.2435827
11.0,1.5,1165.21459286
11.0,2.0,3484.14403192
11.0,2.5,682.13704584
11.0,3.0,366.73837432
11.0,3.5,348.7707589
11.5,0.5,627.65534964
11.5,1.0,627.65534964
11.5,1.5,1133.1631171000001
11.5,2.0,3478.62877654
11.5,2.5,658.19190208
11.5,3.0,366.5986636400001
11.5,3.5,349.66737126
