mass,friction,reward
0.5,0.5,1202.38561564
0.5,1.0,1202.38561564
0.5,1.5,1229.6199098
0.5,2.0,675.5503536199999
0.5,2.5,540.5526194
0.5,3.0,357.33515884
0.5,3.5,105.36296938
1.0,0.5,1147.9007626
1.0,1.0,1147.9007626
1.0,1.5,1205.42666558
1.0,2.0,1368.2638496200002
1.0,2.5,1116.31834776
1.0,3.0,329.7256804
1.0,3.5,108.28719984
1.5,0.5,1034.39893538
1.5,1.0,1034.39893538
1.5,1.5,700.4594941799999
1.5,2.0,3043.6635157200003
1.5,2.5,2056.45076442
1.5,3.0,317.36911471999997
1.5,3.5,111.74706686000002
2.0,0.5,770.41246766
2.0,1.0,770.41246766
2.0,1.5,2834.006626
2.0,2.0,3103.7284806999996
2.0,2.5,1651.3071618800002
2.0,3.0,311.10972452
2.0,3.5,114.73671489999998
2.5,0.5,689.45721552
2.5,1.0,689.45721552
2.5,1.5,2888.6775503600006
2.5,2.0,3154.2404329200003
2.5,2.5,755.34980714
2.5,3.0,305.83912606
2.5,3.5,122.16195494
3.0,0.5,679.93836232
3.0,1.0,679.93836232
3.0,1.5,2937.3441372799994
3.0,2.0,3199.16763196
3.0,2.5,725.24804152
3.0,3.0,301.09704358
3.0,3.5,143.25971988
3.5,0.5,664.02714182
3.5,1.0,664.02714182
3.5,1.5,2932.71726892
3.5,2.0,3237.2617038999997
3.5,2.5,699.0393504799999
3.5,3.0,296.79781624000003
3.5,3.5,193.54060553999997
4.0,0.5,639.7861999000002
4.0,1.0,639.7861999000002
4.0,1.5,1818.1333718199999
4.0,2.0,3268.01340438
4.0,2.5,662.63245094
4.0,3.0,293.222571
4.0,3.5,159.11043908
4.5,0.5,612.68395008
4.5,1.0,612.68395008
4.5,1.5,1585.80648064
4.5,2.0,3294.91583488
4.5,2.5,637.31178188
4.5,3.0,290.39511628
4.5,3.5,139.35176606000002
5.0,0.5,592.2169955999999
5.0,1.0,592.2169955999999
5.0,1.5,1288.7683640399998
5.0,2.0,3319.7406930199995
5.0,2.5,597.05029002
5.0,3.0,287.11747776
5.0,3.5,139.44359752
5.5,0.5,563.9523326599999
5.5,1.0,563.9523326599999
5.5,1.5,1085.12047134
5.5,2.0,3339.9338346999994
5.5,2.5,563.7562315399999
5.5,3.0,284.19844218
5.5,3.5,139.80285081999997
6.0,0.5,542.97996918
6.0,1.0,542.97996918
6.0,1.5,1010.2389244999998
6.0,2.0,3360.5392492799997
6.0,2.5,535.90247592
6.0,3.0,281.71530716
6.0,3.5,140.68262972
6.5,0.5,529.9271777600001
6.5,1.0,529.9271777600001
6.5,1.5,894.6848329799999
6.5,2.0,3377.9089387400004
6.5,2.5,527.84066616
6.5,3.0,280.6760739
6.5,3.5,141.34693633999998
7.0,0.5,525.3799470600001
7.0,1.0,525.3799470600001
7.0,1.5,856.6368626
7.0,2.0,3393.67398888
7.0,2.5,518.06964862
7.0,3.0,278.93112992000005
7.0,3.5,141.82246225999998
7.5,0.5,520.04372328
7.5,1.0,520.04372328
7.5,1.5,770.8685737799999
7.5,2.0,3403.4261685
7.5,2.5,518.25413742
7.5,3.0,277.27771052
7.5,3.5,142.60632856
8.0,0.5,515.55978724
8.0,1.0,515.55978724
8.0,1.5,741.9472822400002
8.0,2.0,3408.8528691400006
8.0,2.5,506.2812778
8.0,3.0,275.96252918000005
8.0,3.5,143.52420464
8.5,0.5,504.97950136
8.5,1.0,504.97950136
8.5,1.5,753.31548554
8.5,2.0,3413.3335473399993
8.5,2.5,483.92715111999996
8.5,3.0,274.84980228
8.5,3.5,144.34967468000002
9.0,0.5,497.18378738
9.0,1.0,497.18378738
9.0,1.5,763.4169187400001
9.0,2.0,3266.02659384
9.0,2.5,444.4228354999999
9.0,3.0,273.36358772000006
9.0,3.5,144.94068306
9.5,0.5,496.24587993999995
9.5,1.0,496.24587993999995
9.5,1.5,749.9241709
9.5,2.0,2100.8004022
9.5,2.5,402.5146855400001
9.5,3.0,272.76423144000006
9.5,3.5,145.00938750000003
10.0,0.5,490.79626171999996
10.0,1.0,490.79626171999996
10.0,1.5,737.2522405799999
10.0,2.0,1585.8464887999999
10.0,2.5,394.17147323999995
10.0,3.0,232.10619667999998
10.0,3.5,145.2102879
10.5,0.5,492.69916517999997
10.5,1.0,492.69916517999997
10.5,1.5,715.4373356599999
10.5,2.0,1541.9475059799997
10.5,2.5,355.15723119999996
10.5,3.0,151.98497764
10.5,3.5,145.13444114
11.0,0.5,486.85576332000005
11.0,1.0,486.85576332000005
11.0,1.5,671.47687744
11.0,2.0,1509.45823416
11.0,2.5,338.93279592
11.0,3.0,167.18660988
11.0,3.5,145.03633696
11.5,0.5,463.71643866
11.5,1.0,463.71643866
11.5,1.5,660.50847638
11.5,2.0,1304.22421284
11.5,2.5,335.17558888
11.5,3.0,162.40918922
11.5,3.5,144.93151016
